code,name,ticker,market,size_category,sector_33,fy_end,announce_proxy_date,buyback_jpy,market_cap_at_announce,buyback_pct_mcap,price_at_announce,price_1y_later,price_1y_return_pct,pbr_pre,pbr_post,pbr_delta,roe_pre_pct,roe_post_pct,roe_delta_pct,equity_pre,equity_post,net_income_pre,net_income_post
4587,ペプチドリーム,4587.T,TSE Prime,TOPIX Mid400,医薬品,2025-12-31,2026-03-31,960908000.0,153869607087.5,0.6244949981925715,1197.5,,,3.000382704972997,2.8361327533008436,-0.1642499516721534,-7.276014718369218,,,51528263000.0,,-3749204000.0,
4626,太陽ホールディングス,4626.T,TSE Prime,TOPIX Mid400,化学,2025-03-31,2025-06-29,2219000000.0,384805339356.5464,0.5766552001878427,3458.092529296875,,,3.6657257356068276,5.349803030260653,1.6840772946538256,10.468865322611972,,,102972000000.0,,10780000000.0,
2801,キッコーマン,2801.T,TSE Prime,TOPIX Mid400,食料品,2024-03-31,2024-06-29,9691000000.0,1684303321220.4658,0.5753714237752491,1817.8426513671875,1327.6639404296875,-26.964859173528566,3.523879315532324,2.411057773028081,-1.1128215425042427,11.486806891147948,12.131812899305658,0.6450060081577096,491355000000.0,508539000000.0,56441000000.0,61695000000.0
2212,山崎製パン,2212.T,TSE Prime,TOPIX Mid400,食料品,2025-12-31,2026-03-31,3664000000.0,698224739940.0,0.5247594063073239,3546.0,,,1.4962230471644775,1.3484479313951465,-0.147775115769331,8.892102287553275,,,459880000000.0,,40893000000.0,
4540,ツムラ,4540.T,TSE Prime,TOPIX Mid400,医薬品,2024-03-31,2024-06-29,1316000000.0,292940801614.35547,0.44923752264884564,3929.693603515625,3412.1513671875,-13.170040429236407,1.0959528157269176,0.8517501218087855,-0.2442026939181321,6.169475001938693,10.79034233083107,4.620867328892377,270801000000.0,300528000000.0,16707000000.0,32428000000.0
1969,高砂熱学工業,1969.T,TSE Prime,TOPIX Mid400,建設業,2025-03-31,2025-06-29,1939000000.0,459031770562.9219,0.4224108491711057,3507.732421875,,,2.5171391413493245,3.166826699019107,0.6496875576697825,15.2939678744202,,,180666000000.0,,27631000000.0,
3105,日清紡ホールディングス,3105.T,TSE Prime,TOPIX Mid400,電気機器,2025-12-31,2026-03-31,939000000.0,224847631348.0,0.4176161404816828,1439.5,,,0.8293200673984846,1.3074498604348446,0.47812979303635994,4.844755517348193,,,287321000000.0,,13920000000.0,
3088,マツキヨココカラ＆カンパニー,3088.T,TSE Prime,TOPIX Mid400,小売業,2024-03-31,2024-06-29,3689000000.0,899182249089.4238,0.410261657604534,2259.6748046875,2944.399169921875,30.30189847733724,1.8233722003375727,2.2847074832080927,0.46133528287051995,10.169857031008672,10.49835252190877,0.32849549090009766,514727000000.0,520796000000.0,52347000000.0,54675000000.0
4503,アステラス製薬,4503.T,TSE Prime,TOPIX Large70,医薬品,2024-03-31,2024-06-29,10735000000.0,2651531663195.134,0.40486033597140497,1480.0687255859375,1382.8968505859375,-6.565362359206062,1.6644357776586043,1.6193373613570305,-0.04509841630157374,1.067990486144006,3.3534995754185513,2.2855090892745453,1595988000000.0,1513255000000.0,17045000000.0,50747000000.0
3697,ＳＨＩＦＴ,3697.T,TSE Prime,TOPIX Mid400,情報・通信業,2025-08-31,2025-11-29,999000000.0,249853993070.0,0.3998335138554766,977.5,,,6.215929394430847,4.6718241506792495,-1.5441052437515976,21.77409528451322,,,41035000000.0,,8935000000.0,
