code,name,size_category,sector_33,ticker,wave_types,range_high,range_low,range_pct,slope,touch_high,touch_low,touch_total,atr,bandwidth,breakout_days,per,pbr,market_cap
4681,リゾートトラスト,TOPIX Mid400,サービス業,4681.T,レンジ（波型）|ブレイク気味,1982.22,1786.84,10.37,0.000232,14.0,15.0,29.0,45.61,0.1218,2.0,18.18,2.57,386991980544.0
4684,オービック,TOPIX Mid400,情報・通信業,4684.T,下降トレンド|ブレイク気味|高ボラ（荒い）,5386.75,3844.85,33.4,-0.001753,8.0,7.0,15.0,155.29,0.3522,6.0,24.1,3.45,1668794023936.0
4689,ＬＩＮＥヤフー,TOPIX Large70,情報・通信業,4689.T,下降トレンド|ブレイク気味,490.96,394.79,21.71,-0.001828,8.0,11.0,19.0,12.59,0.1253,5.0,13.13,0.88,2604051202048.0
4704,トレンドマイクロ,TOPIX Mid400,情報・通信業,4704.T,下降トレンド|ブレイク気味,8266.75,5723.45,36.36,-0.002866,7.0,8.0,15.0,195.64,0.194,6.0,24.15,5.87,737559248896.0
4716,日本オラクル,TOPIX Mid400,情報・通信業,4716.T,下降トレンド|ブレイク気味,16234.0,9636.8,51.0,-0.003609,9.0,7.0,16.0,372.57,0.2686,6.0,19.84,7.11,1216815431680.0
4732,ユー・エス・エス,TOPIX Mid400,サービス業,4732.T,レンジ（波型）|ブレイク気味,1787.93,1692.47,5.49,2.5e-05,18.0,36.0,54.0,33.89,0.1197,4.0,22.07,4.35,852711112704.0
4733,オービックビジネスコンサルタント,TOPIX Mid400,情報・通信業,4733.T,下降トレンド|ブレイク気味|高ボラ（荒い）,8995.36,6039.2,39.32,-0.00185,11.0,7.0,18.0,358.43,0.5007,6.0,25.45,2.57,428582404096.0
4751,サイバーエージェント,TOPIX Mid400,サービス業,4751.T,下降トレンド|ブレイク気味|高ボラ（荒い）,1776.22,1309.78,30.23,-0.002913,11.0,15.0,26.0,61.11,0.203,4.0,22.12,3.55,661652045824.0
4755,楽天グループ,TOPIX Mid400,サービス業,4755.T,レンジ（波型）|ブレイク気味|高ボラ（荒い）,1027.72,884.64,14.96,0.000169,9.0,9.0,18.0,29.03,0.1514,3.0,-111.51,1.86,1837248282624.0
4768,大塚商会,TOPIX Mid400,情報・通信業,4768.T,上昇トレンド,3247.04,2947.97,9.66,0.000463,21.0,24.0,45.0,88.54,0.1125,0.0,3.08,2.9,1143670833152.0
4887,サワイグループホールディングス,TOPIX Mid400,医薬品,4887.T,上昇トレンド,2402.75,1849.3,26.03,0.002433,19.0,13.0,32.0,56.93,0.0625,0.0,24.1,1.51,269427982336.0
4901,富士フイルムホールディングス,TOPIX Large70,化学,4901.T,下降トレンド|ブレイク気味,3653.41,3059.95,17.68,-0.001255,12.0,10.0,22.0,82.18,0.1034,5.0,13.74,1.0,3718339624960.0
4902,コニカミノルタ,TOPIX Mid400,電気機器,4902.T,上昇トレンド|高ボラ（荒い）,714.72,508.96,33.63,0.002901,8.0,11.0,19.0,30.74,0.2679,0.0,11.9,0.55,283247738880.0
4911,資生堂,TOPIX Mid400,化学,4911.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,2792.6,2193.6,24.03,0.000822,9.0,9.0,18.0,125.29,0.3334,5.0,25.34,2.09,1255316783104.0
4912,ライオン,TOPIX Mid400,化学,4912.T,上昇トレンド|ブレイク気味,1710.35,1520.7,11.74,0.000861,11.0,17.0,28.0,44.21,0.1159,5.0,18.15,1.55,499911884800.0
4922,コーセーホールディングス,TOPIX Mid400,化学,4922.T,下降トレンド|ブレイク気味|高ボラ（荒い）,6033.38,4997.97,18.77,-0.000573,9.0,12.0,21.0,173.36,0.165,2.0,22.52,1.2,340505624576.0
4927,ポーラ・オルビスホールディングス,TOPIX Mid400,化学,4927.T,上昇トレンド|ブレイク気味,1384.62,1272.78,8.42,0.000562,10.0,25.0,35.0,23.54,0.0609,5.0,31.55,1.83,298046783488.0
4967,小林製薬,TOPIX Mid400,化学,4967.T,レンジ（波型）|ブレイク気味,5506.15,5134.9,6.98,0.000135,21.0,18.0,39.0,110.36,0.0643,2.0,114.94,1.99,419865624576.0
4980,デクセリアルズ,TOPIX Mid400,化学,4980.T,高ボラ（荒い）,3066.55,1977.25,43.19,0.003062,10.0,9.0,19.0,165.64,0.3599,1.0,15.97,3.76,383592726528.0
5016,ＪＸ金属,TOPIX Mid400,非鉄金属,5016.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,2690.92,1356.89,65.91,0.0051,8.0,8.0,16.0,208.57,0.4419,5.0,29.41,4.52,2996845936640.0
5019,出光興産,TOPIX Mid400,石油・石炭製品,5019.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,1384.35,977.19,34.48,0.003069,8.0,13.0,21.0,45.0,0.1922,6.0,40.16,0.96,1684487274496.0
5020,ＥＮＥＯＳホールディングス,TOPIX Large70,石油・石炭製品,5020.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,1397.12,862.01,47.37,0.004101,7.0,9.0,16.0,46.29,0.268,6.0,81.95,1.2,3822374879232.0
5021,コスモエネルギーホールディングス,TOPIX Mid400,石油・石炭製品,5021.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,4614.75,3480.02,28.04,0.002903,9.0,25.0,34.0,143.79,0.0874,6.0,12.94,1.3,768239337472.0
5076,インフロニア・ホールディングス,TOPIX Mid400,建設業,5076.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,2536.38,1424.41,56.15,0.005197,7.0,8.0,15.0,83.57,0.2269,6.0,15.85,1.14,658760138752.0
5101,横浜ゴム,TOPIX Mid400,ゴム製品,5101.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,6654.05,5349.74,21.73,0.00172,7.0,12.0,19.0,210.86,0.1744,5.0,16.75,1.14,1058508505088.0
5105,ＴＯＹＯ　ＴＩＲＥ,TOPIX Mid400,ゴム製品,5105.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,4496.1,3700.47,19.41,0.001472,9.0,10.0,19.0,153.36,0.1484,4.0,11.03,1.34,701149151232.0
5108,ブリヂストン,TOPIX Large70,ゴム製品,5108.T,上昇トレンド|ブレイク気味,3627.3,3279.17,10.08,0.000723,13.0,14.0,27.0,93.07,0.1318,6.0,24.33,1.34,4576459096064.0
5110,住友ゴム工業,TOPIX Mid400,ゴム製品,5110.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,2651.8,1703.82,43.53,0.004552,9.0,12.0,21.0,83.18,0.1245,5.0,13.93,0.98,701117890560.0
5201,ＡＧＣ,TOPIX Mid400,ガラス・土石製品,5201.T,上昇トレンド|ブレイク気味,6113.15,4571.82,28.85,0.002378,9.0,12.0,21.0,158.21,0.2253,6.0,19.57,0.91,1352514142208.0
5214,日本電気硝子,TOPIX Mid400,ガラス・土石製品,5214.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,6739.5,4411.12,41.76,0.003777,12.0,10.0,22.0,258.79,0.266,4.0,15.02,0.88,431660007424.0
5232,住友大阪セメント,TOPIX Mid400,ガラス・土石製品,5232.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,4279.1,3713.9,14.14,0.000501,9.0,17.0,26.0,125.64,0.1036,6.0,10.31,0.71,135585366016.0
5233,太平洋セメント,TOPIX Mid400,ガラス・土石製品,5233.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,4408.3,3698.65,17.51,0.000831,9.0,12.0,21.0,167.71,0.1906,6.0,10.21,0.82,524748193792.0
5301,東海カーボン,TOPIX Mid400,ガラス・土石製品,5301.T,レンジ（波型）|ブレイク気味|高ボラ（荒い）,1095.1,964.55,12.68,0.000195,10.0,17.0,27.0,35.39,0.1256,5.0,10.94,0.69,219698626560.0
5332,ＴＯＴＯ,TOPIX Mid400,ガラス・土石製品,5332.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,5582.45,3810.3,37.73,0.002945,7.0,17.0,24.0,216.14,0.2825,6.0,243.93,1.97,990592237568.0
5333,日本碍子,TOPIX Mid400,ガラス・土石製品,5333.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,3992.95,2284.08,54.45,0.005368,7.0,11.0,18.0,121.14,0.2043,6.0,23.31,1.54,1207069704192.0
5334,日本特殊陶業,TOPIX Mid400,ガラス・土石製品,5334.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,7061.9,5248.0,29.47,0.002456,10.0,9.0,19.0,212.21,0.146,3.0,15.34,1.98,1456747184128.0
5344,ＭＡＲＵＷＡ,TOPIX Mid400,ガラス・土石製品,5344.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,50781.5,38632.52,27.17,0.002015,9.0,12.0,21.0,2855.71,0.1933,5.0,38.46,4.81,677890162688.0
5393,ニチアス,TOPIX Mid400,ガラス・土石製品,5393.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,8131.45,5450.95,39.47,0.003682,8.0,13.0,21.0,253.64,0.1096,6.0,17.24,2.28,513188626432.0
5401,日本製鉄,TOPIX Large70,鉄鋼,5401.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,674.81,564.64,17.78,0.001255,13.0,9.0,22.0,26.54,0.0943,5.0,1.21,0.66,3527785840640.0
5406,神戸製鋼所,TOPIX Mid400,鉄鋼,5406.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,2294.45,1744.8,27.22,0.002622,13.0,14.0,27.0,68.46,0.0742,4.0,6.99,0.73,882772475904.0
