date,code,name,market,size_category,ticker,pick_type,latest_close,range_high,range_low,range_pct,position_pct,slope,touch_high,touch_low,atr,rsi,rsi_signal
2026-06-10,314A,ｉシェアーズ　ゴールド　ＥＴＦ,TSE Prime,ETF,314A.T,下タッチ（買い候補）,319.7,385.64,319.7,18.7,0.0,8.4e-05,14,11,5.44,30.3,下落中（様子見）
2026-06-10,2856,ｉシェアーズ　米国債３－７年　ＥＴＦ（為替ヘッジあり）,TSE Prime,ETF,2856.T,下タッチ（買い候補）,655.3,677.51,655.3,3.33,-0.0,-0.000259,59,25,1.47,50.0,下落中（様子見）
2026-06-10,1435,ｒｏｂｏｔ　ｈｏｍｅ,TSE Standard,TSE Standard Top400,1435.T,下タッチ（買い候補）,160.0,218.15,160.0,30.75,0.0,0.000102,8,11,5.29,57.1,割高（様子見）
2026-06-10,2169,ＣＤＳ,TSE Standard,TSE Standard Top400,2169.T,下タッチ（買い候補）,1764.0,1836.0,1763.97,4.0,0.0,-2.8e-05,79,21,13.5,30.5,下落中（様子見）
2026-06-10,6457,グローリー,TSE Prime,TOPIX Mid400,6457.T,下タッチ（買い候補）,3951.0,4299.25,3950.65,8.45,0.1,9.4e-05,9,28,96.36,33.5,下落中（様子見）
2026-06-10,2927,ＡＦＣ－ＨＤアムスライフサイエンス,TSE Standard,TSE Standard Top400,2927.T,下タッチ（買い候補）,831.0,897.77,830.95,7.73,0.1,-0.000211,22,13,13.79,47.4,下落中（様子見）
2026-06-10,2206,江崎グリコ,TSE Prime,TOPIX Mid400,2206.T,下タッチ（買い候補）,5350.0,6078.65,5344.0,12.86,0.8,0.000133,13,20,91.57,40.0,下落中（様子見）
2026-06-10,3299,ムゲンエステート,TSE Standard,TSE Standard Top100,3299.T,下タッチ（買い候補）,1696.0,2505.5,1684.9,39.17,1.4,7.8e-05,10,8,46.64,35.4,下落中（様子見）
2026-06-10,7459,メディパルホールディングス,TSE Prime,TOPIX Mid400,7459.T,下タッチ（買い候補）,2680.0,2999.35,2673.45,11.49,2.0,-0.000241,12,8,60.96,32.0,下落中（様子見）
2026-06-10,6797,名古屋電機工業,TSE Standard,TSE Standard Top400,6797.T,下タッチ（買い候補）,1161.0,1250.19,1158.49,7.61,2.7,-0.000147,18,31,15.64,49.6,下落中（様子見）
2026-06-10,3951,朝日印刷,TSE Standard,TSE Standard Top400,3951.T,下タッチ（買い候補）,845.0,885.64,843.61,4.86,3.3,-0.000124,24,22,6.86,41.0,下落中（様子見）
2026-06-10,6091,ウエスコホールディングス,TSE Standard,TSE Standard Top400,6091.T,下タッチ（買い候補）,833.0,915.1,829.9,9.77,3.6,-6.6e-05,10,27,16.29,49.3,下落中（様子見）
2026-06-10,9044,南海電気鉄道,TSE Prime,TOPIX Mid400,9044.T,下タッチ（買い候補）,2790.5,3181.2,2768.6,13.87,5.3,-0.000272,8,13,75.07,41.3,下落中（様子見）
2026-06-10,1928,積水ハウス,TSE Prime,TOPIX Large70,1928.T,下タッチ（買い候補）,3319.0,3769.4,3293.35,13.48,5.4,-0.000273,10,9,73.64,49.3,下落中（様子見）
2026-06-10,9508,九州電力,TSE Prime,TOPIX Mid400,9508.T,下タッチ（買い候補）,1649.0,1928.38,1631.97,16.65,5.7,-5.5e-05,9,13,39.46,41.5,下落中（様子見）
2026-06-10,1487,上場インデックスファンド米国債券（為替ヘッジあり）,TSE Prime,ETF,1487.T,下タッチ（買い候補）,12135.0,12550.25,12110.0,3.57,5.7,-0.0002,36,28,43.93,54.1,割高（様子見）
2026-06-10,1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,TSE Prime,ETF,1496.T,下タッチ（買い候補）,1681.0,1743.0,1675.9,3.93,7.6,-0.000295,34,35,10.29,59.7,割高（様子見）
2026-06-10,3392,デリカフーズホールディングス,TSE Standard,TSE Standard Top400,3392.T,下タッチ（買い候補）,805.0,936.6,792.85,16.62,8.5,0.000261,7,12,16.14,31.2,下落中（様子見）
2026-06-10,9065,山九,TSE Prime,TOPIX Mid400,9065.T,下タッチ（買い候補）,8576.0,9816.2,8449.5,14.96,9.3,-9.2e-05,10,17,233.21,28.8,売られすぎ（反発期待）
2026-06-10,8113,ユニ・チャーム,TSE Prime,TOPIX Large70,8113.T,下タッチ（買い候補）,902.5,1065.22,884.06,18.59,10.2,0.000195,8,18,24.8,41.6,下落中（様子見）
2026-06-10,1333,マルハニチロ,TSE Prime,TOPIX Mid400,1333.T,下タッチ（買い候補）,1277.5,1525.03,1248.78,19.92,10.4,-0.000273,9,17,26.82,45.2,下落中（様子見）
2026-06-10,4206,アイカ工業,TSE Prime,TOPIX Mid400,4206.T,下タッチ（買い候補）,3462.0,3890.45,3405.9,13.28,11.6,-0.000245,8,26,48.57,53.3,割高（様子見）
2026-06-10,9507,四国電力,TSE Prime,TOPIX Mid400,9507.T,下タッチ（買い候補）,1470.0,1813.55,1419.92,24.35,12.7,1.1e-05,11,7,36.82,41.2,下落中（様子見）
2026-06-10,1944,きんでん,TSE Prime,TOPIX Mid400,1944.T,下タッチ（買い候補）,6916.0,8314.25,6694.65,21.58,13.7,5.2e-05,8,11,280.36,52.2,割高（様子見）
2026-06-10,2340,極楽湯ホールディングス,TSE Standard,TSE Standard Top400,2340.T,下タッチ（買い候補）,472.0,486.99,469.21,3.72,15.7,7.2e-05,40,22,3.21,16.7,売られすぎ（反発期待）
2026-06-10,2003,日東富士製粉,TSE Standard,TSE Standard Top100,2003.T,下タッチ（買い候補）,1718.0,1844.0,1691.8,8.61,17.2,0.000121,13,13,30.14,43.6,下落中（様子見）
2026-06-10,6087,アビスト,TSE Standard,TSE Standard Top400,6087.T,下タッチ（買い候補）,3330.0,3450.0,3305.0,4.29,17.2,0.000112,30,13,22.5,27.6,売られすぎ（反発期待）
2026-06-10,9006,京浜急行電鉄,TSE Prime,TOPIX Mid400,9006.T,下タッチ（買い候補）,1503.0,1605.03,1477.2,8.29,20.2,-6.1e-05,12,13,31.11,44.0,下落中（様子見）
2026-06-10,3329,東和フードサービス,TSE Standard,TSE Standard Top400,3329.T,下タッチ（買い候補）,2040.0,2157.87,2004.95,7.35,22.9,-0.000162,15,16,19.14,55.5,割高（様子見）
2026-06-10,1807,佐藤渡辺,TSE Standard,TSE Standard Top400,1807.T,下タッチ（買い候補）,1826.0,2004.74,1765.92,12.67,25.2,0.000149,15,13,29.36,51.1,割高（様子見）
2026-06-10,4671,ファルコホールディングス,TSE Standard,TSE Standard Top400,4671.T,下タッチ（買い候補）,2562.0,2666.88,2513.35,5.93,31.7,-0.000224,17,24,39.71,55.0,割高（様子見）
2026-06-10,4441,トビラシステムズ,TSE Standard,TSE Standard Top400,4441.T,下タッチ（買い候補）,1230.0,1431.0,1128.55,23.63,33.5,0.000185,10,8,58.86,42.1,下落中（様子見）
2026-06-10,8424,芙蓉総合リース,TSE Prime,TOPIX Mid400,8424.T,下タッチ（買い候補）,4314.0,4579.2,4177.85,9.17,33.9,-0.00024,12,16,79.57,44.8,下落中（様子見）
2026-06-10,9434,ソフトバンク,TSE Prime,TOPIX Core30,9434.T,下タッチ（買い候補）,214.8,223.07,210.49,5.8,34.3,0.000216,15,19,3.71,34.7,下落中（様子見）
