code,name,ticker,market,size_category,sector_33,sector_17
2897,日清食品ホールディングス,2897.T,TSE Prime,TOPIX Mid400,食料品,食品
2914,日本たばこ産業,2914.T,TSE Prime,TOPIX Core30,食料品,食品
3003,ヒューリック,3003.T,TSE Prime,TOPIX Mid400,不動産業,不動産
3038,神戸物産,3038.T,TSE Prime,TOPIX Mid400,卸売業,商社・卸売
3048,ビックカメラ,3048.T,TSE Prime,TOPIX Mid400,小売業,小売
3064,ＭｏｎｏｔａＲＯ,3064.T,TSE Prime,TOPIX Mid400,小売業,小売
3086,Ｊ．フロント　リテイリング,3086.T,TSE Prime,TOPIX Mid400,小売業,小売
3088,マツキヨココカラ＆カンパニー,3088.T,TSE Prime,TOPIX Mid400,小売業,小売
3092,ＺＯＺＯ,3092.T,TSE Prime,TOPIX Mid400,小売業,小売
3099,三越伊勢丹ホールディングス,3099.T,TSE Prime,TOPIX Mid400,小売業,小売
3105,日清紡ホールディングス,3105.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
3107,ダイワボウホールディングス,3107.T,TSE Prime,TOPIX Mid400,卸売業,商社・卸売
3116,トヨタ紡織,3116.T,TSE Prime,TOPIX Mid400,輸送用機器,自動車・輸送機
3132,マクニカホールディングス,3132.T,TSE Prime,TOPIX Mid400,卸売業,商社・卸売
3197,すかいらーくホールディングス,3197.T,TSE Prime,TOPIX Mid400,小売業,小売
3231,野村不動産ホールディングス,3231.T,TSE Prime,TOPIX Mid400,不動産業,不動産
3288,オープンハウスグループ,3288.T,TSE Prime,TOPIX Mid400,不動産業,不動産
3289,東急不動産ホールディングス,3289.T,TSE Prime,TOPIX Mid400,不動産業,不動産
3291,飯田グループホールディングス,3291.T,TSE Prime,TOPIX Mid400,不動産業,不動産
3349,コスモス薬品,3349.T,TSE Prime,TOPIX Mid400,小売業,小売
3360,シップヘルスケアホールディングス,3360.T,TSE Prime,TOPIX Mid400,卸売業,商社・卸売
3382,セブン＆アイ・ホールディングス,3382.T,TSE Prime,TOPIX Core30,小売業,小売
3391,ツルハホールディングス,3391.T,TSE Prime,TOPIX Mid400,小売業,小売
3397,トリドールホールディングス,3397.T,TSE Prime,TOPIX Mid400,小売業,小売
3401,帝人,3401.T,TSE Prime,TOPIX Mid400,繊維製品,素材・化学
3402,東レ,3402.T,TSE Prime,TOPIX Mid400,繊維製品,素材・化学
3405,クラレ,3405.T,TSE Prime,TOPIX Mid400,化学,素材・化学
3407,旭化成,3407.T,TSE Prime,TOPIX Large70,化学,素材・化学
3436,ＳＵＭＣＯ,3436.T,TSE Prime,TOPIX Mid400,金属製品,建設・資材
3549,クスリのアオキホールディングス,3549.T,TSE Prime,TOPIX Mid400,小売業,小売
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563.T,TSE Prime,TOPIX Mid400,小売業,小売
3591,ワコールホールディングス,3591.T,TSE Prime,TOPIX Mid400,繊維製品,素材・化学
3626,ＴＩＳ,3626.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
3635,コーエーテクモホールディングス,3635.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
3659,ネクソン,3659.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
3697,ＳＨＩＦＴ,3697.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
3769,ＧＭＯペイメントゲートウェイ,3769.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
3774,インターネットイニシアティブ,3774.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
3861,王子ホールディングス,3861.T,TSE Prime,TOPIX Mid400,パルプ・紙,素材・化学
3923,ラクス,3923.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
3941,レンゴー,3941.T,TSE Prime,TOPIX Mid400,パルプ・紙,素材・化学
3994,マネーフォワード,3994.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
4004,レゾナック・ホールディングス,4004.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4005,住友化学,4005.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4021,日産化学,4021.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4042,東ソー,4042.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4043,トクヤマ,4043.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4045,東亞合成,4045.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4061,デンカ,4061.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4062,イビデン,4062.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
4063,信越化学工業,4063.T,TSE Prime,TOPIX Core30,化学,素材・化学
4088,エア・ウォーター,4088.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4091,日本酸素ホールディングス,4091.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4114,日本触媒,4114.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4118,カネカ,4118.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4151,協和キリン,4151.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
417A,ブルーゾーンホールディングス,417A.T,TSE Prime,TOPIX Mid400,小売業,小売
4182,三菱瓦斯化学,4182.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4183,三井化学,4183.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4186,東京応化工業,4186.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4188,三菱ケミカルグループ,4188.T,TSE Prime,TOPIX Large70,化学,素材・化学
4194,ビジョナル,4194.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
4202,ダイセル,4202.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4203,住友ベークライト,4203.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4204,積水化学工業,4204.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4205,日本ゼオン,4205.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4206,アイカ工業,4206.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4208,ＵＢＥ,4208.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4272,日本化薬,4272.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4307,野村総合研究所,4307.T,TSE Prime,TOPIX Large70,情報・通信業,情報通信・サービスその他
4324,電通グループ,4324.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
4385,メルカリ,4385.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
4401,ＡＤＥＫＡ,4401.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4403,日油,4403.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4452,花王,4452.T,TSE Prime,TOPIX Large70,化学,素材・化学
4502,武田薬品工業,4502.T,TSE Prime,TOPIX Core30,医薬品,医薬品
4503,アステラス製薬,4503.T,TSE Prime,TOPIX Large70,医薬品,医薬品
4506,住友ファーマ,4506.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
4507,塩野義製薬,4507.T,TSE Prime,TOPIX Large70,医薬品,医薬品
4516,日本新薬,4516.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
4519,中外製薬,4519.T,TSE Prime,TOPIX Large70,医薬品,医薬品
4523,エーザイ,4523.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
4527,ロート製薬,4527.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
4528,小野薬品工業,4528.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
4530,久光製薬,4530.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
4536,参天製薬,4536.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
4540,ツムラ,4540.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
4543,テルモ,4543.T,TSE Prime,TOPIX Large70,精密機器,電機・精密
4544,Ｈ．Ｕ．グループホールディングス,4544.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
4568,第一三共,4568.T,TSE Prime,TOPIX Core30,医薬品,医薬品
4578,大塚ホールディングス,4578.T,TSE Prime,TOPIX Large70,医薬品,医薬品
4587,ペプチドリーム,4587.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
4612,日本ペイントホールディングス,4612.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4613,関西ペイント,4613.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4626,太陽ホールディングス,4626.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4631,ＤＩＣ,4631.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4661,オリエンタルランド,4661.T,TSE Prime,TOPIX Large70,サービス業,情報通信・サービスその他
4665,ダスキン,4665.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
4666,パーク２４,4666.T,TSE Prime,TOPIX Mid400,不動産業,不動産
4676,フジ・メディア・ホールディングス,4676.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
4680,ラウンドワン,4680.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
4681,リゾートトラスト,4681.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
4684,オービック,4684.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
4689,ＬＩＮＥヤフー,4689.T,TSE Prime,TOPIX Large70,情報・通信業,情報通信・サービスその他
4704,トレンドマイクロ,4704.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
4716,日本オラクル,4716.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
4732,ユー・エス・エス,4732.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
4733,オービックビジネスコンサルタント,4733.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
4751,サイバーエージェント,4751.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
4755,楽天グループ,4755.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
4768,大塚商会,4768.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
4887,サワイグループホールディングス,4887.T,TSE Prime,TOPIX Mid400,医薬品,医薬品
4901,富士フイルムホールディングス,4901.T,TSE Prime,TOPIX Large70,化学,素材・化学
4902,コニカミノルタ,4902.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
4911,資生堂,4911.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4912,ライオン,4912.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4922,コーセーホールディングス,4922.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4927,ポーラ・オルビスホールディングス,4927.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4967,小林製薬,4967.T,TSE Prime,TOPIX Mid400,化学,素材・化学
4980,デクセリアルズ,4980.T,TSE Prime,TOPIX Mid400,化学,素材・化学
5016,ＪＸ金属,5016.T,TSE Prime,TOPIX Mid400,非鉄金属,鉄鋼・非鉄
5019,出光興産,5019.T,TSE Prime,TOPIX Mid400,石油・石炭製品,エネルギー資源
5020,ＥＮＥＯＳホールディングス,5020.T,TSE Prime,TOPIX Large70,石油・石炭製品,エネルギー資源
5021,コスモエネルギーホールディングス,5021.T,TSE Prime,TOPIX Mid400,石油・石炭製品,エネルギー資源
5076,インフロニア・ホールディングス,5076.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
5101,横浜ゴム,5101.T,TSE Prime,TOPIX Mid400,ゴム製品,自動車・輸送機
5105,ＴＯＹＯ　ＴＩＲＥ,5105.T,TSE Prime,TOPIX Mid400,ゴム製品,自動車・輸送機
5108,ブリヂストン,5108.T,TSE Prime,TOPIX Large70,ゴム製品,自動車・輸送機
5110,住友ゴム工業,5110.T,TSE Prime,TOPIX Mid400,ゴム製品,自動車・輸送機
5201,ＡＧＣ,5201.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,建設・資材
5214,日本電気硝子,5214.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,建設・資材
5232,住友大阪セメント,5232.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,建設・資材
5233,太平洋セメント,5233.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,建設・資材
5301,東海カーボン,5301.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,建設・資材
5332,ＴＯＴＯ,5332.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,建設・資材
5333,日本碍子,5333.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,建設・資材
5334,日本特殊陶業,5334.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,建設・資材
5344,ＭＡＲＵＷＡ,5344.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,建設・資材
5393,ニチアス,5393.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,建設・資材
5401,日本製鉄,5401.T,TSE Prime,TOPIX Large70,鉄鋼,鉄鋼・非鉄
5406,神戸製鋼所,5406.T,TSE Prime,TOPIX Mid400,鉄鋼,鉄鋼・非鉄
5411,ＪＦＥホールディングス,5411.T,TSE Prime,TOPIX Mid400,鉄鋼,鉄鋼・非鉄
5444,大和工業,5444.T,TSE Prime,TOPIX Mid400,鉄鋼,鉄鋼・非鉄
5463,丸一鋼管,5463.T,TSE Prime,TOPIX Mid400,鉄鋼,鉄鋼・非鉄
5471,大同特殊鋼,5471.T,TSE Prime,TOPIX Mid400,鉄鋼,鉄鋼・非鉄
5631,日本製鋼所,5631.T,TSE Prime,TOPIX Mid400,機械,機械
5706,三井金属,5706.T,TSE Prime,TOPIX Mid400,非鉄金属,鉄鋼・非鉄
5711,三菱マテリアル,5711.T,TSE Prime,TOPIX Mid400,非鉄金属,鉄鋼・非鉄
5713,住友金属鉱山,5713.T,TSE Prime,TOPIX Mid400,非鉄金属,鉄鋼・非鉄
5714,ＤＯＷＡホールディングス,5714.T,TSE Prime,TOPIX Mid400,非鉄金属,鉄鋼・非鉄
5801,古河電気工業,5801.T,TSE Prime,TOPIX Mid400,非鉄金属,鉄鋼・非鉄
5802,住友電気工業,5802.T,TSE Prime,TOPIX Large70,非鉄金属,鉄鋼・非鉄
5803,フジクラ,5803.T,TSE Prime,TOPIX Large70,非鉄金属,鉄鋼・非鉄
5830,いよぎんホールディングス,5830.T,TSE Prime,TOPIX Mid400,銀行業,銀行
5831,しずおかフィナンシャルグループ,5831.T,TSE Prime,TOPIX Mid400,銀行業,銀行
5832,ちゅうぎんフィナンシャルグループ,5832.T,TSE Prime,TOPIX Mid400,銀行業,銀行
5838,楽天銀行,5838.T,TSE Prime,TOPIX Mid400,銀行業,銀行
5844,京都フィナンシャルグループ,5844.T,TSE Prime,TOPIX Mid400,銀行業,銀行
5901,東洋製罐グループホールディングス,5901.T,TSE Prime,TOPIX Mid400,金属製品,建設・資材
5929,三和ホールディングス,5929.T,TSE Prime,TOPIX Mid400,金属製品,建設・資材
5938,ＬＩＸＩＬ,5938.T,TSE Prime,TOPIX Mid400,金属製品,建設・資材
5947,リンナイ,5947.T,TSE Prime,TOPIX Mid400,金属製品,建設・資材
5991,日本発條,5991.T,TSE Prime,TOPIX Mid400,金属製品,建設・資材
6005,三浦工業,6005.T,TSE Prime,TOPIX Mid400,機械,機械
6098,リクルートホールディングス,6098.T,TSE Prime,TOPIX Core30,サービス業,情報通信・サービスその他
6113,アマダ,6113.T,TSE Prime,TOPIX Mid400,機械,機械
6134,ＦＵＪＩ,6134.T,TSE Prime,TOPIX Mid400,機械,機械
6136,オーエスジー,6136.T,TSE Prime,TOPIX Mid400,機械,機械
6141,ＤＭＧ森精機,6141.T,TSE Prime,TOPIX Mid400,機械,機械
6146,ディスコ,6146.T,TSE Prime,TOPIX Large70,機械,機械
6178,日本郵政,6178.T,TSE Prime,TOPIX Large70,サービス業,情報通信・サービスその他
6201,豊田自動織機,6201.T,TSE Prime,TOPIX Large70,輸送用機器,自動車・輸送機
6268,ナブテスコ,6268.T,TSE Prime,TOPIX Mid400,機械,機械
6269,三井海洋開発,6269.T,TSE Prime,TOPIX Mid400,機械,機械
6273,ＳＭＣ,6273.T,TSE Prime,TOPIX Large70,機械,機械
6301,小松製作所,6301.T,TSE Prime,TOPIX Large70,機械,機械
6302,住友重機械工業,6302.T,TSE Prime,TOPIX Mid400,機械,機械
6305,日立建機,6305.T,TSE Prime,TOPIX Mid400,機械,機械
6323,ローツェ,6323.T,TSE Prime,TOPIX Mid400,機械,機械
6326,クボタ,6326.T,TSE Prime,TOPIX Large70,機械,機械
6361,荏原製作所,6361.T,TSE Prime,TOPIX Mid400,機械,機械
6367,ダイキン工業,6367.T,TSE Prime,TOPIX Core30,機械,機械
6368,オルガノ,6368.T,TSE Prime,TOPIX Mid400,機械,機械
6370,栗田工業,6370.T,TSE Prime,TOPIX Mid400,機械,機械
6383,ダイフク,6383.T,TSE Prime,TOPIX Mid400,機械,機械
6406,フジテック,6406.T,TSE Prime,TOPIX Mid400,機械,機械
6417,ＳＡＮＫＹＯ,6417.T,TSE Prime,TOPIX Mid400,機械,機械
6436,アマノ,6436.T,TSE Prime,TOPIX Mid400,機械,機械
6448,ブラザー工業,6448.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6457,グローリー,6457.T,TSE Prime,TOPIX Mid400,機械,機械
6460,セガサミーホールディングス,6460.T,TSE Prime,TOPIX Mid400,機械,機械
6465,ホシザキ,6465.T,TSE Prime,TOPIX Mid400,機械,機械
6471,日本精工,6471.T,TSE Prime,TOPIX Mid400,機械,機械
6472,ＮＴＮ,6472.T,TSE Prime,TOPIX Mid400,機械,機械
6473,ジェイテクト,6473.T,TSE Prime,TOPIX Mid400,機械,機械
6479,ミネベアミツミ,6479.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6481,ＴＨＫ,6481.T,TSE Prime,TOPIX Mid400,機械,機械
6501,日立製作所,6501.T,TSE Prime,TOPIX Core30,電気機器,電機・精密
6503,三菱電機,6503.T,TSE Prime,TOPIX Core30,電気機器,電機・精密
6504,富士電機,6504.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6506,安川電機,6506.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,6525.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6526,ソシオネクスト,6526.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6532,ベイカレント,6532.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
6544,ジャパンエレベーターサービスホールディングス,6544.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
6586,マキタ,6586.T,TSE Prime,TOPIX Mid400,機械,機械
6592,マブチモーター,6592.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6632,ＪＶＣケンウッド,6632.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6645,オムロン,6645.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6674,ジーエス・ユアサ　コーポレーション,6674.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6701,日本電気,6701.T,TSE Prime,TOPIX Large70,電気機器,電機・精密
6702,富士通,6702.T,TSE Prime,TOPIX Large70,電気機器,電機・精密
6707,サンケン電気,6707.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6723,ルネサスエレクトロニクス,6723.T,TSE Prime,TOPIX Large70,電気機器,電機・精密
6724,セイコーエプソン,6724.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6728,アルバック,6728.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6752,パナソニック　ホールディングス,6752.T,TSE Prime,TOPIX Large70,電気機器,電機・精密
6753,シャープ,6753.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6754,アンリツ,6754.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6758,ソニーグループ,6758.T,TSE Prime,TOPIX Core30,電気機器,電機・精密
6762,ＴＤＫ,6762.T,TSE Prime,TOPIX Large70,電気機器,電機・精密
6770,アルプスアルパイン,6770.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6806,ヒロセ電機,6806.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6841,横河電機,6841.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6845,アズビル,6845.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6849,日本光電工業,6849.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6856,堀場製作所,6856.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6857,アドバンテスト,6857.T,TSE Prime,TOPIX Core30,電気機器,電機・精密
6861,キーエンス,6861.T,TSE Prime,TOPIX Core30,電気機器,電機・精密
6869,シスメックス,6869.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6902,デンソー,6902.T,TSE Prime,TOPIX Large70,輸送用機器,自動車・輸送機
6920,レーザーテック,6920.T,TSE Prime,TOPIX Large70,電気機器,電機・精密
6923,スタンレー電気,6923.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6925,ウシオ電機,6925.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6951,日本電子,6951.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6952,カシオ計算機,6952.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6954,ファナック,6954.T,TSE Prime,TOPIX Large70,電気機器,電機・精密
6963,ローム,6963.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6965,浜松ホトニクス,6965.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6971,京セラ,6971.T,TSE Prime,TOPIX Large70,電気機器,電機・精密
6976,太陽誘電,6976.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
6981,村田製作所,6981.T,TSE Prime,TOPIX Large70,電気機器,電機・精密
6988,日東電工,6988.T,TSE Prime,TOPIX Mid400,化学,素材・化学
7003,三井Ｅ＆Ｓ,7003.T,TSE Prime,TOPIX Mid400,機械,機械
7011,三菱重工業,7011.T,TSE Prime,TOPIX Core30,機械,機械
7012,川崎重工業,7012.T,TSE Prime,TOPIX Mid400,輸送用機器,自動車・輸送機
7013,ＩＨＩ,7013.T,TSE Prime,TOPIX Mid400,機械,機械
7164,全国保証,7164.T,TSE Prime,TOPIX Mid400,その他金融業,金融（除く銀行）
7167,めぶきフィナンシャルグループ,7167.T,TSE Prime,TOPIX Mid400,銀行業,銀行
7180,九州フィナンシャルグループ,7180.T,TSE Prime,TOPIX Mid400,銀行業,銀行
